source;target;Label;Weight
1;6;"Edge from 1 to 6";1
5;7;"Edge from 5 to 7";1
4;8;"Edge from 4 to 8";1
4;9;"Edge from 4 to 9";1
4;10;"Edge from 4 to 10";1
2;11;"Edge from 2 to 11";1
3;12;"Edge from 3 to 12";1
6;13;"Edge from 6 to 13";1
7;14;"Edge from 7 to 14";1
8;15;"Edge from 8 to 15";1
32;15;"Edge from 32 to 15";1
9;16;"Edge from 9 to 16";1
28;16;"Edge from 28 to 16";1
32;16;"Edge from 32 to 16";1
10;17;"Edge from 10 to 17";1
32;17;"Edge from 32 to 17";1
11;18;"Edge from 11 to 18";1
12;19;"Edge from 12 to 19";1
31;19;"Edge from 31 to 19";1
13;20;"Edge from 13 to 20";1
20;21;"Edge from 20 to 21";1
20;22;"Edge from 20 to 22";1
22;23;"Edge from 22 to 23";1
22;24;"Edge from 22 to 24";1
22;25;"Edge from 22 to 25";1
14;26;"Edge from 14 to 26";1
26;27;"Edge from 26 to 27";1
26;28;"Edge from 26 to 28";1
18;29;"Edge from 18 to 29";1
18;30;"Edge from 18 to 30";1
18;31;"Edge from 18 to 31";1
29;32;"Edge from 29 to 32";1
29;33;"Edge from 29 to 33";1
30;33;"Edge from 30 to 33";1
30;34;"Edge from 30 to 34";1
31;34;"Edge from 31 to 34";1
23;35;"Edge from 23 to 35";1
24;36;"Edge from 24 to 36";1
25;37;"Edge from 25 to 37";1
33;38;"Edge from 33 to 38";1
33;39;"Edge from 33 to 39";1
33;40;"Edge from 33 to 40";1
34;41;"Edge from 34 to 41";1
34;42;"Edge from 34 to 42";1
34;43;"Edge from 34 to 43";1
15;44;"Edge from 15 to 44";1
16;44;"Edge from 16 to 44";1
17;44;"Edge from 17 to 44";1
23;44;"Edge from 23 to 44";1
27;44;"Edge from 27 to 44";1
15;45;"Edge from 15 to 45";1
16;45;"Edge from 16 to 45";1
17;45;"Edge from 17 to 45";1
24;45;"Edge from 24 to 45";1
27;45;"Edge from 27 to 45";1
35;45;"Edge from 35 to 45";1
38;45;"Edge from 38 to 45";1
39;45;"Edge from 39 to 45";1
40;45;"Edge from 40 to 45";1
15;46;"Edge from 15 to 46";1
16;46;"Edge from 16 to 46";1
17;46;"Edge from 17 to 46";1
25;46;"Edge from 25 to 46";1
27;46;"Edge from 27 to 46";1
35;46;"Edge from 35 to 46";1
36;46;"Edge from 36 to 46";1
38;46;"Edge from 38 to 46";1
39;46;"Edge from 39 to 46";1
40;46;"Edge from 40 to 46";1
41;46;"Edge from 41 to 46";1
42;46;"Edge from 42 to 46";1
43;46;"Edge from 43 to 46";1
15;47;"Edge from 15 to 47";1
19;47;"Edge from 19 to 47";1
35;47;"Edge from 35 to 47";1
36;47;"Edge from 36 to 47";1
37;47;"Edge from 37 to 47";1
38;47;"Edge from 38 to 47";1
41;47;"Edge from 41 to 47";1
16;48;"Edge from 16 to 48";1
19;48;"Edge from 19 to 48";1
35;48;"Edge from 35 to 48";1
36;48;"Edge from 36 to 48";1
37;48;"Edge from 37 to 48";1
39;48;"Edge from 39 to 48";1
42;48;"Edge from 42 to 48";1
17;49;"Edge from 17 to 49";1
19;49;"Edge from 19 to 49";1
40;49;"Edge from 40 to 49";1
43;49;"Edge from 43 to 49";0.5
17;50;"Edge from 17 to 50";1
23;51;"Edge from 23 to 51";1
24;52;"Edge from 24 to 52";1
25;53;"Edge from 25 to 53";1
29;54;"Edge from 29 to 54";1
30;55;"Edge from 30 to 55";1
31;56;"Edge from 31 to 56";1
13;57;"Edge from 13 to 57";1
21;57;"Edge from 21 to 57";1
21;58;"Edge from 21 to 58";1
21;59;"Edge from 21 to 59";1
22;60;"Edge from 22 to 60";1
22;61;"Edge from 22 to 61";1
14;62;"Edge from 14 to 62";1
